temp,vib,speed ,current,voltage,output
26.4,1.12,0,4.5,230,0
29,1.41,1430,4.5,230,0
29.5,1.32,1423,4.5,230,0
28.2,1.38,1400,4.5,230,0
28.9,1.4,1420,4.5,230,0
30,1.26,1390,4.5,230,0
31,1.32,1430,4.5,230,0
32.3,1.29,1440,4.5,230,0
32.1,1.45,1442,4.5,230,0
34.2,1.46,1470,4.5,230,0
28.1,1.49,1474,4.5,230,0
27.5,1.44,1420,4.5,230,0
35.1,1.03,1390,4.5,230,1
35.6,1.04,1390,4.5,230,1
34.7,0.82,1360,4.5,230,1
36.3,0.97,1380,4.5,230,1
32.1,0.91,1375,4.5,230,1
30.1,0.94,1385,4.5,230,1
32,0.9,1380,4.5,230,1
31,1.05,1460,4.5,230,1
32,1.02,1340,4.5,230,1
29.1,1.45,1420,4.5,230,0
29.3,1.32,1430,4.5,230,0
29.4,1.23,1450,4.5,230,0
28.4,1.44,1400,4.5,230,0
25.4,1.34,1390,4.5,230,0
28.4,1.43,1360,4.5,230,0
29.9,1.27,1420,4.5,230,0
30.2,1.54,1450,4.5,230,0
39.9,1.33,1370,4.5,230,1
40.1,1.34,1440,4.5,230,1
